,local_ppl_cnt,vx,vy
0,7,0.38268343236508984,0.9238795325112867
1,7,6.123233995736766e-17,1.0
2,8,6.123233995736766e-17,1.0
3,10,6.123233995736766e-17,1.0
4,10,6.123233995736766e-17,1.0
5,10,0.38268343236508984,0.9238795325112867
6,11,0.38268343236508984,0.9238795325112867
7,16,6.123233995736766e-17,1.0
8,16,0.38268343236508984,0.9238795325112867
9,20,6.123233995736766e-17,1.0
10,23,0.38268343236508984,0.9238795325112867
11,23,4.367312598097899e-17,0.7132362736976232
12,24,6.123233995736766e-17,1.0
13,27,4.367312598097899e-17,0.7132362736976232
14,27,-0.3826834323650897,0.9238795325112867
