,local_ppl_cnt,vx,vy
0,7,0.38268343236508984,0.9238795325112867
1,7,6.123233995736766e-17,1.0
2,8,6.123233995736766e-17,1.0
3,10,6.123233995736766e-17,1.0
4,10,6.123233995736766e-17,1.0
5,10,0.38268343236508984,0.9238795325112867
6,11,0.38268343236508984,0.9238795325112867
7,16,6.123233995736766e-17,1.0
8,16,0.38268343236508984,0.9238795325112867
9,20,6.123233995736766e-17,1.0
10,23,0.38268343236508984,0.9238795325112867
11,23,4.367312598097899e-17,0.7132362736976232
12,24,6.123233995736766e-17,1.0
13,27,4.367312598097899e-17,0.7132362736976232
14,27,-0.3826834323650897,0.9238795325112867
15,7,6.123233995736766e-17,1.0
16,7,6.123233995736766e-17,1.0
17,9,6.123233995736766e-17,1.0
18,10,6.123233995736766e-17,1.0
19,10,6.123233995736766e-17,1.0
20,11,6.123233995736766e-17,1.0
21,13,0.38268343236508984,0.9238795325112867
22,14,0.5043342057198138,0.5043342057198137
23,16,0.7071067811865476,0.7071067811865475
24,18,0.7071067811865476,0.7071067811865475
25,19,0.7071067811865476,0.7071067811865475
26,18,0.38268343236508984,0.9238795325112867
27,20,0.38268343236508984,0.9238795325112867
28,23,0.38268343236508984,0.9238795325112867
29,2,0.38268343236508984,0.9238795325112867
30,7,-0.7071067811865475,0.7071067811865476
31,8,6.123233995736766e-17,1.0
32,8,6.123233995736766e-17,1.0
33,10,6.123233995736766e-17,1.0
34,11,6.123233995736766e-17,1.0
35,11,0.38268343236508984,0.9238795325112867
36,12,0.38268343236508984,0.9238795325112867
37,12,0.38268343236508984,0.9238795325112867
38,15,-0.3826834323650897,0.9238795325112867
39,17,-0.3826834323650897,0.9238795325112867
40,11,6.123233995736766e-17,1.0
41,8,-0.9238795325112868,-0.38268343236508967
42,7,-0.38268343236509034,-0.9238795325112865
43,7,-0.7071067811865477,-0.7071067811865475
44,6,-0.9238795325112868,-0.38268343236508967
45,6,-1.0,1.2246467991473532e-16
46,6,-0.9238795325112868,-0.38268343236508967
47,6,-1.0,1.2246467991473532e-16
48,5,-1.0,1.2246467991473532e-16
49,4,-1.0,1.2246467991473532e-16
50,5,-0.7071067811865475,0.7071067811865476
51,7,-0.3826834323650897,0.9238795325112867
52,6,-0.3826834323650897,0.9238795325112867
53,6,-0.7071067811865475,0.7071067811865476
54,6,-0.7071067811865475,0.7071067811865476
55,5,-0.9238795325112867,0.3826834323650899
56,4,-0.7071067811865475,0.7071067811865476
57,3,-0.7071067811865475,0.7071067811865476
58,3,6.123233995736766e-17,1.0
59,4,6.123233995736766e-17,1.0
60,4,-0.9238795325112867,0.3826834323650899
61,5,6.123233995736766e-17,1.0
62,6,-0.7071067811865475,0.7071067811865476
63,6,2.9296857498632844e-17,0.47845399210662953
64,5,0.38268343236508984,0.9238795325112867
65,5,-0.26444251705892496,-0.10953567703388524
66,4,-0.26444251705892496,-0.10953567703388524
67,2,-0.3383180623043727,-0.3383180623043726
68,2,-0.20239554018274647,-0.2023955401827464
69,2,-0.27294370530589346,-0.6589443951138522
70,1,-0.27294370530589346,-0.6589443951138522
71,1,-0.27294370530589346,-0.6589443951138522
72,1,-0.27294370530589346,-0.6589443951138522
73,1,-0.27294370530589346,-0.6589443951138522
74,1,-0.3383180623043727,-0.3383180623043726
75,0,0.38268343236508984,0.9238795325112867
76,0,0.7071067811865476,0.7071067811865475
77,0,0.5043342057198138,0.5043342057198137
78,0,0.38268343236508984,0.9238795325112867
79,0,0.38268343236508984,0.9238795325112867
80,0,0.38268343236508984,0.9238795325112867
81,0,0.38268343236508984,0.9238795325112867
82,1,0.38268343236508984,0.9238795325112867
83,1,0.38268343236508984,0.9238795325112867
84,2,0.38268343236508984,0.9238795325112867
85,4,0.7071067811865476,0.7071067811865475
86,5,0.7071067811865476,0.7071067811865475
87,5,-0.38268343236509034,-0.9238795325112865
88,5,-0.3383180623043727,-0.3383180623043726
89,5,-0.38268343236509034,-0.9238795325112865
90,4,-0.5043342057198139,-0.5043342057198137
91,4,0.0,0.0
92,5,0.38268343236508984,0.9238795325112867
93,6,0.38268343236508984,0.9238795325112867
94,6,0.7071067811865476,0.7071067811865475
95,9,0.7071067811865476,0.7071067811865475
96,11,0.7071067811865476,0.7071067811865475
97,12,0.38268343236508984,0.9238795325112867
98,14,0.38268343236508984,0.9238795325112867
99,16,0.38268343236508984,0.9238795325112867
100,16,0.38268343236508984,0.9238795325112867
101,15,-0.18309641592814482,-0.44203385055563166
102,15,-0.20239554018274647,-0.2023955401827464
103,14,-0.18309641592814455,0.44203385055563177
104,14,-0.5043342057198137,0.5043342057198138
105,15,-0.3826834323650897,0.9238795325112867
106,13,0.9238795325112867,0.3826834323650898
107,13,0.7071067811865476,0.7071067811865475
108,13,0.38268343236508984,0.9238795325112867
109,14,0.38268343236508984,0.9238795325112867
110,14,0.9238795325112867,0.3826834323650898
111,14,0.7071067811865476,0.7071067811865475
112,14,0.38268343236508984,0.9238795325112867
113,10,0.7071067811865474,-0.7071067811865477
114,13,0.9238795325112867,0.3826834323650898
115,14,1.0,0.0
116,16,0.9238795325112865,-0.3826834323650904
117,17,0.9238795325112865,-0.3826834323650904
118,17,0.9238795325112867,0.3826834323650898
119,14,0.7071067811865474,-0.7071067811865477
120,2,-0.3826834323650897,0.9238795325112867
