,robot_x,robot_y,local_ppl_cnt
0,0.09567085809127246,-3.7690301168721785,7
1,0.09567085809127247,-3.5190301168721785,7
2,0.09567085809127249,-3.2690301168721785,8
3,0.0956708580912725,-3.0190301168721785,10
4,0.09567085809127251,-2.7690301168721785,10
5,0.19134171618254497,-2.538060233744357,10
6,0.28701257427381743,-2.3070903506165354,11
7,0.28701257427381743,-2.0570903506165354,16
8,0.3826834323650899,-1.8261204674887137,16
9,0.3826834323650899,-1.5761204674887137,20
10,0.47835429045636235,-1.345150584360892,23
11,0.47835429045636235,-1.1668415159364862,23
12,0.47835429045636235,-0.9168415159364862,24
13,0.47835429045636235,-0.7385324475120805,27
14,0.38268343236508995,-0.5075625643842587,27
15,1.5308084989341915e-17,-3.75,7
16,3.061616997868383e-17,-3.5,7
17,4.592425496802574e-17,-3.25,9
18,6.123233995736766e-17,-3.0,10
19,7.654042494670958e-17,-2.75,10
20,9.18485099360515e-17,-2.5,11
21,0.09567085809127256,-2.2690301168721785,13
22,0.221754409521226,-2.142946565442225,14
23,0.3985311048178629,-1.9661698701455879,16
24,0.5753078001144998,-1.7893931748489509,18
25,0.7520844954111366,-1.612616479552314,19
26,0.8477553535024092,-1.3816465964244922,18
27,0.9434262115936816,-1.1506767132966704,20
28,1.039097069684954,-0.9197068301688487,23
29,1.1347679277762264,-0.688736947041027,2
30,-0.17677669529663687,-3.823223304703363,7
31,-0.17677669529663684,-3.573223304703363,8
32,-0.1767766952966368,-3.323223304703363,8
33,-0.17677669529663678,-3.073223304703363,10
34,-0.17677669529663675,-2.823223304703363,11
35,-0.0811058372053643,-2.5922534215755415,11
36,0.014565020885908164,-2.36128353844772,12
37,0.11023587897718062,-2.1303136553198985,12
38,0.014565020885908192,-1.8993437721920767,15
39,-0.08110583720536424,-1.668373889064255,17
40,-0.08110583720536423,-1.418373889064255,11
41,-0.2309698831278217,-4.095670858091273,8
42,-0.3266407412190943,-4.326640741219094,7
43,-0.5034174365157312,-4.503417436515731,7
44,-0.734387319643553,-4.599088294607004,6
45,-0.984387319643553,-4.599088294607004,6
46,-1.2153572027713746,-4.694759152698277,6
47,-1.4653572027713746,-4.694759152698277,6
48,-1.7153572027713746,-4.694759152698277,5
49,-1.9653572027713746,-4.694759152698277,4
50,-2.1421338980680114,-4.51798245740164,5
51,-2.2378047561592838,-4.2870125742738185,7
52,-2.333475614250556,-4.056042691145997,6
53,-2.510252309547193,-3.87926599584936,6
54,-2.68702900484383,-3.702489300552723,6
55,-2.9179988879716516,-3.6068184424614507,5
56,-3.0947755832682886,-3.4300417471648137,4
57,-3.2715522785649256,-3.2532650518681767,3
58,-3.2715522785649256,-3.0032650518681767,3
59,-3.2715522785649256,-2.7532650518681767,4
60,-3.502522161692747,-2.6575941937769043,4
61,-3.502522161692747,-2.4075941937769043,5
62,-3.679298856989384,-2.2308174984802673,6
63,-3.679298856989384,-2.11120400045361,6
64,-3.5836279988981117,-1.8802341173257882,5
65,-3.649738628162843,-1.9076180365842594,5
66,-3.715849257427574,-1.9350019558427307,4
67,-3.800428773003667,-2.019581471418824,2
68,-3.8510276580493534,-2.0701803564645105,2
69,-3.919263584375827,-2.2349164552429737,2
70,-3.9874995107023,-2.399652554021437,1
71,-4.0557354370287735,-2.5643886527999,1
72,-4.123971363355247,-2.729124751578363,1
73,-4.192207289681721,-2.8938608503568264,1
74,-4.276786805257815,-2.9784403659329195,1
75,-4.181115947166542,-2.747470482805098,0
76,-4.004339251869905,-2.570693787508461,0
77,-3.8782557004399516,-2.444610236078508,0
78,-3.782584842348679,-2.2136403529506863,0
79,-3.686913984257407,-1.9826704698228645,0
80,-3.5912431261661344,-1.7517005866950428,0
81,-3.495572268074862,-1.520730703567221,0
82,-3.3999014099835896,-1.2897608204393993,1
83,-3.304230551892317,-1.0587909373115776,1
84,-3.2085596938010448,-0.8278210541837558,2
85,-3.031782998504408,-0.651044358887119,4
86,-2.855006303207771,-0.4742676635904821,5
87,-2.9506771612990432,-0.7052375467183037,5
88,-3.0352566768751363,-0.7898170622943969,5
89,-3.1309275349664087,-1.0207869454222185,5
90,-3.2570110863963624,-1.146870496852172,4
91,-3.2570110863963624,-1.146870496852172,4
92,-3.16134022830509,-0.9159006137243502,5
93,-3.0656693702138176,-0.6849307305965284,6
94,-2.8888926749171806,-0.5081540352998916,6
95,-2.7121159796205436,-0.3313773400032547,9
96,-2.5353392843239067,-0.15460064470661783,11
97,-2.4396684262326342,0.07636923842120386,12
98,-2.343997568141362,0.30733912154902554,14
99,-2.2483267100500894,0.5383090046768473,16
100,-2.152655851958817,0.769278887804669,16
101,-2.198429955940853,0.6587704251657611,15
102,-2.2490288409865395,0.6081715401200746,15
103,-2.2948029449685756,0.7186800027589825,14
104,-2.420886496398529,0.8447635541889359,14
105,-2.5165573544898012,1.0757334373167575,15
106,-2.2855874713619797,1.17140429540803,13
107,-2.1088107760653427,1.348180990704667,13
108,-2.0131399179740703,1.5791508738324886,13
109,-1.917469059882798,1.8101207569603104,14
110,-1.6864991767549762,1.9057916150515828,14
111,-1.5097224814583392,2.0825683103482198,14
112,-1.4140516233670668,2.3135381934760413,14
113,-1.23727492807043,2.1367614981794043,10
114,-1.0063050449426083,2.2324323562706767,13
115,-0.7563050449426083,2.2324323562706767,14
116,-0.5253351618147867,2.1367614981794043,16
117,-0.29436527868696505,2.041090640088132,17
118,-0.06339539555914336,2.1367614981794043,17
119,0.11338129973749347,1.9599848028827673,14
120,0.017710441646221042,2.190954686010589,2
