,local_ppl_cnt,vx,vy
0,2,-0.7071067811865475,0.7071067811865476
1,3,6.123233995736766e-17,1.0
2,3,-0.3826834323650897,0.9238795325112867
3,4,6.123233995736766e-17,1.0
4,6,0.38268343236508984,0.9238795325112867
5,8,-0.3826834323650897,0.9238795325112867
6,10,-0.3826834323650897,0.9238795325112867
7,11,-0.18309641592814455,0.44203385055563177
8,11,7.88986342672337e-18,0.12885124808584156
9,13,-0.3383180623043726,0.33831806230437267
10,13,-0.9238795325112867,0.3826834323650899
11,14,-0.3826834323650897,0.9238795325112867
12,16,6.123233995736766e-17,1.0
13,21,0.38268343236508984,0.9238795325112867
14,21,6.123233995736766e-17,1.0
15,20,6.123233995736766e-17,1.0
16,22,-0.3383180623043726,0.33831806230437267
17,23,-0.5043342057198137,0.5043342057198138
18,23,-0.5043342057198137,0.5043342057198138
19,17,-0.3826834323650897,0.9238795325112867
20,4,0.38268343236508984,0.9238795325112867
21,3,6.123233995736766e-17,1.0
22,4,6.123233995736766e-17,1.0
23,7,-0.3826834323650897,0.9238795325112867
24,7,6.123233995736766e-17,1.0
25,8,0.38268343236508984,0.9238795325112867
26,9,0.38268343236508984,0.9238795325112867
27,10,6.123233995736766e-17,1.0
28,13,6.123233995736766e-17,1.0
29,16,6.123233995736766e-17,1.0
30,17,6.123233995736766e-17,1.0
31,17,6.123233995736766e-17,1.0
32,20,6.123233995736766e-17,1.0
33,22,0.6589443951138523,0.27294370530589307
34,21,0.6589443951138523,0.27294370530589307
35,21,0.5043342057198138,0.5043342057198137
36,23,6.123233995736766e-17,1.0
37,23,-0.7071067811865475,0.7071067811865476
38,2,-0.3826834323650897,0.9238795325112867
39,7,0.9238795325112867,0.3826834323650898
40,7,6.123233995736766e-17,1.0
41,7,6.123233995736766e-17,1.0
42,7,-0.3826834323650897,0.9238795325112867
43,8,-0.3826834323650897,0.9238795325112867
44,8,0.38268343236508984,0.9238795325112867
45,9,0.38268343236508984,0.9238795325112867
46,10,6.123233995736766e-17,1.0
47,10,-0.3826834323650897,0.9238795325112867
48,14,6.123233995736766e-17,1.0
49,16,6.123233995736766e-17,1.0
50,17,-0.3826834323650897,0.9238795325112867
51,19,6.123233995736766e-17,1.0
52,19,4.367312598097899e-17,0.7132362736976232
53,22,-0.7071067811865477,-0.7071067811865475
54,21,0.38268343236509,-0.9238795325112866
55,20,0.38268343236509,-0.9238795325112866
56,18,-1.8369701987210297e-16,-1.0
57,19,-0.38268343236509034,-0.9238795325112865
58,15,-0.38268343236509034,-0.9238795325112865
59,16,-0.38268343236509034,-0.9238795325112865
60,14,-0.7071067811865477,-0.7071067811865475
61,13,-0.5043342057198139,-0.5043342057198137
62,11,0.9238795325112865,-0.3826834323650904
63,11,4.367312598097899e-17,0.7132362736976232
64,12,-0.7071067811865475,0.7071067811865476
65,14,6.123233995736766e-17,1.0
66,17,0.38268343236508984,0.9238795325112867
67,17,0.38268343236508984,0.9238795325112867
68,18,0.38268343236508984,0.9238795325112867
69,20,0.38268343236508984,0.9238795325112867
70,23,-0.2023955401827464,0.20239554018274641
71,23,-0.09111159128584871,0.09111159128584873
72,22,-0.09111159128584871,0.09111159128584873
73,23,-0.2023955401827464,0.20239554018274641
74,21,0.1830964159281446,0.44203385055563177
75,22,-0.272943705305893,0.6589443951138523
76,0,0.38268343236508984,0.9238795325112867
