,robot_x,robot_y,local_ppl_cnt
0,-0.17677669529663687,-3.823223304703363,2
1,-0.17677669529663684,-3.573223304703363,3
2,-0.1767766952966368,-3.323223304703363,4
3,-0.17677669529663678,-3.073223304703363,7
4,-0.17677669529663675,-2.823223304703363,7
5,-0.242887324561368,-2.7958393854448915,10
6,-0.242887324561368,-2.6175303170204858,10
7,-0.31112325088784126,-2.4527942182420226,11
8,-0.4067941089791137,-2.221824335114201,13
9,-0.5024649670703861,-1.9908544519863793,16
10,-0.7524649670703861,-1.9908544519863793,17
11,-0.9834348501982078,-1.895183593895107,17
12,-1.0791057082894802,-1.6642137107672852,19
13,-1.2558824035861171,-1.4874370154706482,20
14,-1.3515532616773895,-1.2564671323428265,22
15,-1.3009543766317029,-1.3070660173885131,22
16,-1.2551802726496668,-1.1965575547496052,21
17,-1.2229674606282064,-1.1965575547496052,21
18,-1.195583541369735,-1.130446925484874,21
19,-1.1449846563240484,-1.0798480404391873,22
20,-1.018901104894095,-0.9537644890092338,22
21,-0.9961232070726328,-0.9309865911877716,21
22,-1.0283360190940931,-0.9309865911877716,21
23,-1.0605488311155535,-0.9309865911877716,20
24,-1.0605488311155535,-0.9309865911877716,19
25,-1.0903095888268144,-0.9186592817172677,20
26,-1.0903095888268144,-0.9186592817172677,18
27,-1.0903095888268144,-0.8864464696958073,20
28,-1.0629256695683431,-0.8203358404310761,20
29,-1.0505983600978392,-0.7905750827198154,20
30,-1.0382710506273354,-0.7608143250085546,20
31,-1.0154931528058733,-0.7380364271870924,20
32,-0.9648942677601866,-0.6874375421414058,21
33,-0.8987836384954554,-0.6600536228829346,20
34,-0.8530095345134192,-0.7705620855218425,20
35,-0.807235430531383,-0.8810705481607504,20
36,-0.8530095345134192,-0.9915790107996583,20
37,-0.807235430531383,-1.1020874734385662,18
38,-0.807235430531383,-1.1736451029111334,17
39,-0.8918149461074762,-1.2582246184872266,16
40,-0.7961440880162038,-1.0272547353594048,8
41,0.09567085809127246,-3.7690301168721785,4
42,0.09567085809127247,-3.5190301168721785,5
43,0.19134171618254492,-3.288060233744357,4
44,0.2870125742738174,-3.0570903506165354,5
45,0.38268343236508984,-2.826120467488714,5
46,0.38268343236508984,-2.576120467488714,6
47,0.38268343236508984,-2.326120467488714,9
48,0.4783542904563623,-2.0951505843608924,9
49,0.4783542904563623,-1.8451505843608924,12
50,0.4783542904563623,-1.5951505843608924,18
51,0.30157759515972543,-1.4183738890642554,17
52,0.30157759515972543,-1.1683738890642554,19
53,0.3972484532509979,-0.9374040059364337,21
54,0.22047175795436103,-0.7606273106397968,4
55,0.23096988312782168,-3.9043291419087276,7
56,0.13529902503654925,-3.673359258780906,7
57,0.13529902503654928,-3.423359258780906,0
58,-0.2309698831278217,-4.095670858091273,4
59,-0.3266407412190943,-4.326640741219094,4
60,-0.5034174365157312,-4.503417436515731,4
61,-0.7534174365157312,-4.503417436515731,5
62,-0.9843873196435529,-4.407746578424458,5
63,-1.2153572027713746,-4.312075720333185,3
64,-1.4463270858991963,-4.216404862241912,5
65,-1.677296969027018,-4.1207340041506395,7
66,-1.8540736643236548,-3.9439573088540025,6
67,-2.030850359620292,-3.7671806135573656,5
68,-2.207627054916929,-3.5904039182607286,6
69,-2.4385969380447503,-3.494733060169456,6
70,-2.669566821172572,-3.3990622020781838,6
71,-2.9005367043003933,-3.3033913439869114,5
72,-3.131506587428215,-3.207720485895639,4
73,-3.3624764705560364,-3.1120496278043666,6
74,-3.593446353683858,-3.016378769713094,5
75,-3.770223048980495,-2.839602074416457,5
76,-3.946999744277132,-2.66282537911982,3
77,-3.8513288861858594,-2.4318554959919987,3
78,-4.028105581482496,-2.2550788006953617,3
79,-4.2048822767791325,-2.0783021053987247,3
80,-4.4548822767791325,-2.0783021053987247,2
81,-4.7048822767791325,-2.0783021053987247,1
82,-4.9548822767791325,-2.0783021053987247,0
83,-5.000656380761169,-2.1888105680376326,0
84,-5.096327238852441,-2.419780451165454,0
85,-5.191998096943714,-2.6507503342932757,0
86,-5.287668955034987,-2.881720217421097,0
87,-5.518638838162809,-2.786049359329825,0
88,-5.518638838162809,-2.786049359329825,0
89,-5.518638838162809,-2.786049359329825,0
90,-5.530966147633313,-2.8158101170410856,0
91,-5.5583500668917845,-2.8819207463058167,0
92,-5.626585993218258,-3.04665684508428,0
93,-5.722256851309531,-3.2776267282121014,0
94,-5.722256851309531,-3.397240226238759,0
95,-5.626585993218258,-3.6282101093665804,0
96,-5.85755587634608,-3.532539251275308,0
97,-5.761885018254807,-3.7635091344031295,0
98,-5.992854901382628,-3.667838276311857,0
99,-5.897184043291356,-3.8988081594396786,0
100,-5.828948116964883,-4.063544258218141,0
101,-6.059918000092704,-3.967873400126869,0
102,-5.964247142001431,-4.198843283254691,0
103,-6.195217025129253,-4.103172425163418,0
104,-6.09954616703798,-4.33414230829124,0
105,-6.003875308946707,-4.565112191419061,0
106,-6.234845192074529,-4.469441333327788,0
107,-6.139174333983256,-4.70041121645561,0
108,-6.370144217111077,-4.604740358364337,0
109,-6.2744733590198045,-4.8357102414921584,0
110,-6.505443242147626,-4.740039383400886,0
111,-6.409772384056353,-4.971009266528707,0
112,-6.640742267184175,-4.875338408437434,0
113,-6.545071409092902,-5.106308291565256,0
114,-6.418987857662948,-5.232391842995209,0
115,-6.64995774079077,-5.136720984903937,0
116,-6.554286882699497,-5.367690868031758,0
