,robot_x,robot_y,local_ppl_cnt
0,0.23096988312782168,-3.9043291419087276,0
1,0.46193976625564337,-3.808658283817455,0
2,0.6387164615522802,-3.631881588520818,0
3,0.8154931568489171,-3.4551048932241812,0
4,1.0464630399767387,-3.359434035132909,0
5,1.2232397352733757,-3.182657339836272,0
6,1.4542096184011974,-3.0869864817449995,0
7,1.6851795015290192,-2.991315623653727,0
8,1.916149384656841,-2.8956447655624546,0
9,2.092926079953478,-2.7188680702658177,0
10,1.9972552218622055,-2.487898187137996,0
11,1.901584363770933,-2.2569283040101746,0
12,1.8059135056796607,-2.025958420882353,1
13,1.8059135056796607,-1.7759584208823531,0
14,1.8059135056796607,-1.5259584208823531,2
15,1.8059135056796607,-1.2759584208823531,3
16,1.8059135056796607,-1.0259584208823531,3
17,1.7102426475883883,-0.7949885377545314,3
18,1.5334659522917513,-0.6182118424578945,3
19,1.3566892569951143,-0.44143514716125765,4
20,1.261018398903842,-0.21046526403343596,4
21,1.261018398903842,-0.03215619560903016,4
22,1.0300485157760202,-0.12782705370030256,4
23,1.0982844421024935,0.03690904507816051,3
24,1.2750611373991303,-0.1398676502184764,3
25,1.0982844421024933,-0.3166443455151133,3
26,0.8482844421024933,-0.3166443455151132,3
27,0.7526135840112209,-0.08567446238729154,3
28,0.6569427259199485,0.14529542074053015,3
29,0.5612718678286761,0.37626530386835183,3
30,0.4656010097374037,0.6072351869961735,3
31,0.3699301516461313,0.8382050701239951,2
32,0.13896026851830962,0.9338759282152677,2
33,0.043289410427037184,1.1648458113430893,1
34,-0.05238144766423525,1.395815694470911,1
35,-0.052381447664235234,1.645815694470911,1
36,-0.05238144766423522,1.895815694470911,0
37,-0.052381447664235206,2.145815694470911,0
38,-0.05238144766423519,2.395815694470911,0
39,-0.05238144766423518,2.645815694470911,0
40,-0.052381447664235165,2.895815694470911,0
41,0.043289410427037295,3.1267855775987323,0
42,-0.05238144766423514,3.357755460726554,0
43,0.12439524763240176,3.534532156023191,1
44,0.12439524763240177,3.784532156023191,1
45,-0.23096988312782168,-3.9043291419087276,0
46,-0.46193976625564337,-3.808658283817455,0
47,-0.46193976625564337,-3.558658283817455,0
48,-0.5576106243469158,-3.3276884006896337,0
49,-0.6532814824381882,-3.096718517561812,0
50,-0.830058177734825,-2.919941822265175,1
51,-1.0068348730314618,-2.743165126968538,1
52,-1.1836115683280988,-2.5663884316719012,1
53,-1.2792824264193712,-2.3354185485440797,1
54,-1.3749532845106436,-2.104448665416258,1
55,-1.470624142601916,-1.8734787822884365,1
56,-1.5662950006931884,-1.6425088991606147,1
57,-1.6619658587844608,-1.411539016032793,2
58,-1.7576367168757332,-1.1805691329049712,2
59,-1.7576367168757332,-0.9305691329049712,2
60,-1.6619658587844608,-0.6995992497771495,3
61,-1.5662950006931884,-0.4686293666493278,3
62,-1.470624142601916,-0.23765948352150612,3
63,-1.3749532845106436,-0.006689600393684436,3
64,-1.2792824264193712,0.22428028273413725,3
65,-1.1836115683280988,0.45525016586195893,3
66,-1.0879407102368264,0.6862200489897806,2
67,-0.992269852145554,0.9171899321176022,2
68,-0.8965989940542816,1.148159815245424,2
69,-0.8009281359630092,1.3791296983732457,2
70,-0.7052572778717368,1.6100995815010675,2
71,-0.6095864197804644,1.8410694646288892,2
72,-0.513915561689192,2.0720393477567107,1
73,-0.513915561689192,2.3220393477567107,0
74,-0.513915561689192,2.5720393477567107,0
75,-0.513915561689192,2.8220393477567107,0
76,-0.513915561689192,3.0720393477567107,0
77,-0.513915561689192,3.3220393477567107,0
78,-0.513915561689192,3.5720393477567107,0
79,-0.513915561689192,3.8220393477567107,0
80,-0.28294567856137026,3.917710205847983,0
81,-0.25,-4.0,0
82,-0.5,-4.0,0
83,-0.7309698831278217,-3.9043291419087276,0
84,-0.9809698831278217,-3.9043291419087276,0
85,-1.2309698831278217,-3.9043291419087276,0
86,-1.4619397662556435,-3.808658283817455,0
87,-1.5576106243469159,-3.5776884006896337,0
88,-1.6532814824381883,-3.346718517561812,0
89,-1.7489523405294607,-3.1157486344339906,0
90,-1.7489523405294607,-2.8657486344339906,0
91,-1.6532814824381883,-2.634778751306169,0
92,-1.6532814824381883,-2.384778751306169,0
93,-1.6532814824381883,-2.134778751306169,1
94,-1.6532814824381883,-1.8847787513061691,1
95,-1.7489523405294607,-1.6538088681783474,2
96,-1.844623198620733,-1.4228389850505256,2
97,-1.844623198620733,-1.1728389850505256,2
98,-1.844623198620733,-0.9228389850505256,3
99,-1.7489523405294607,-0.6918691019227039,3
100,-1.6532814824381883,-0.4608992187948822,2
101,-1.5576106243469159,-0.22992933566706053,2
102,-1.4619397662556435,0.0010405474607611542,2
103,-1.366268908164371,0.23201043058858284,2
104,-1.2705980500730987,0.4629803137164045,3
105,-1.1749271919818263,0.6939501968442262,2
106,-1.0792563338905539,0.9249200799720478,2
107,-0.9835854757992815,1.1558899630998696,2
108,-0.8879146177080091,1.3868598462276913,1
