,robot_x,robot_y,local_ppl_cnt
0,-0.17677669529663687,-3.823223304703363,2
1,-0.17677669529663684,-3.573223304703363,3
2,-0.27244755338790927,-3.3422534215755415,3
3,-0.27244755338790927,-3.0922534215755415,4
4,-0.1767766952966368,-2.86128353844772,6
5,-0.27244755338790927,-2.6303136553198985,8
6,-0.3681184114791817,-2.399343772192077,10
7,-0.4138925154612178,-2.288835309553169,11
8,-0.4138925154612178,-2.256622497531709,11
9,-0.49847203103731097,-2.1720429819556157,13
10,-0.7294419141651327,-2.0763721238643433,13
11,-0.8251127722564051,-1.8454022407365216,14
12,-0.8251127722564051,-1.5954022407365216,16
13,-0.7294419141651327,-1.3644323576086999,21
14,-0.7294419141651327,-1.1144323576086999,21
15,-0.7294419141651327,-0.8644323576086999,20
16,-0.8140214297412258,-0.7798528420326067,22
17,-0.9401049811711792,-0.6537692906026533,23
18,-1.0661885326011327,-0.5276857391726999,23
19,-1.161859390692405,-0.2967158560448782,17
